"herocard.family.title.abyss","Семья Бездны"
"herocard.family.title.abyss.short","Бездна"
"herocard.family.title.abyss_hunter","Семья охотников Бездны"
"herocard.family.title.abyss_hunter.short","Охотник Бездны"
"herocard.family.title.alfheim","Альвхейм"
"herocard.family.title.alfheim.short","Альвхейм"
"herocard.family.title.asgard","Асгард"
"herocard.family.title.asgard.short","Асгард"
"herocard.family.title.astral_dwarfs","Семья астральных гномов"
"herocard.family.title.astral_dwarfs.short","Астральные гномы"
"herocard.family.title.astral_elves","Семья астральных эльфов"
"herocard.family.title.astral_elves.short","Астральные эльфы"
"herocard.family.title.atlantis","Семья Атлантиды"
"herocard.family.title.atlantis.short","Атлантида"
"herocard.family.title.bard","Семья бардов"
"herocard.family.title.bard.short","Барды"
"herocard.family.title.beachparty","Семья пляжных вечеринок"
"herocard.family.title.beachparty.short","Пляжная вечеринка"
"herocard.family.title.bear","Семья медведей"
"herocard.family.title.bear.short","Медведь"
"herocard.family.title.bear_pve.short","Медведь"
"herocard.family.title.beowulf","Семья Беовульфа"
"herocard.family.title.beowulf.short","Беовульф"
"herocard.family.title.champions","Семья чемпионов"
"herocard.family.title.champions.short","Чемпионы"
"herocard.family.title.circus","Звездная семья"
"herocard.family.title.circus.short","Звездная"
"herocard.family.title.classic","Семья классических героев"
"herocard.family.title.classic.short","Классическая"
"herocard.family.title.construct","Структурная семья"
"herocard.family.title.construct.short","Структура"
"herocard.family.title.cultist","Семья сектантов"
"herocard.family.title.cultist.short","Сектант"
"herocard.family.title.cupid","Семья купидонов"
"herocard.family.title.cupid.short","Купидоны"
"herocard.family.title.easter","Семья Спрингвейла"
"herocard.family.title.easter.short","Спрингвейл"
"herocard.family.title.fable","Семья Дремучего леса"
"herocard.family.title.fable.short","Дремучий лес"
"herocard.family.title.faun","Семья лесных фавнов"
"herocard.family.title.faun.short","Лесной фавн"
"herocard.family.title.fox","Семья лис"
"herocard.family.title.fox.short","Лис"
"herocard.family.title.gargoyle","Семья горгулий"
"herocard.family.title.gargoyle.short","Горгульи"
"herocard.family.title.garrison","Семья стражей гарнизона"
"herocard.family.title.garrison.short","Страж гарнизона"
"herocard.family.title.goblin","Семья гоблинов"
"herocard.family.title.goblin.short","Гоблин"
"herocard.family.title.guardian","Семья Хранителей"
"herocard.family.title.guardian.short","Хранители"
"herocard.family.title.guestip1","WWE Superstar Family"
"herocard.family.title.guestip1.short","WWE Superstar"
"herocard.family.title.halloween","Семья Морловии"
"herocard.family.title.halloween.short","Морловия"
"herocard.family.title.helheim","Хельхейм"
"herocard.family.title.helheim.short","Хельхейм"
"herocard.family.title.hotm","Семья легенд {0}"
"herocard.family.title.hotm.short","Легенды {0}"
"herocard.family.title.investigator","Семья следователей"
"herocard.family.title.investigator.short","Следователь"
"herocard.family.title.japanese","Семья Сакуры"
"herocard.family.title.japanese.short","Сакура"
"herocard.family.title.jotunheim","Йотунхейм"
"herocard.family.title.jotunheim.short","Йотунхейм"
"herocard.family.title.journey","Семья путешественников"
"herocard.family.title.journey.short","Путешествие"
"herocard.family.title.jungle_hunter","Семья охотников джунглей"
"herocard.family.title.jungle_hunter.short","Охотники джунглей"
"herocard.family.title.kalevala","Семья Калевалы"
"herocard.family.title.kalevala.short","Калевала"
"herocard.family.title.kingdom","Семья королевства"
"herocard.family.title.kingdom.short","Королевство"
"herocard.family.title.knight","Семья Авалона"
"herocard.family.title.knight.short","Авалон"
"herocard.family.title.lagoon","Семья Лагуны"
"herocard.family.title.lagoon.short","Лагуна"
"herocard.family.title.magic","Волшебная семья"
"herocard.family.title.magic.short","Волшебство"
"herocard.family.title.magic_carpet","Семья ковров-самолетов"
"herocard.family.title.magic_carpet.short","Ковер-самолет"
"herocard.family.title.mahayoddha","Семья Махайодды"
"herocard.family.title.mahayoddha.short","Махайодда"
"herocard.family.title.masquerade","Семья ""Замаскированный бог"""
"herocard.family.title.masquerade.short","Замаскированный бог"
"herocard.family.title.masquerade_pve","Семья ""Замаскированный бог"""
"herocard.family.title.masquerade_pve.short","Замаскированный бог"
"herocard.family.title.midgard","Мидгард"
"herocard.family.title.midgard.short","Мидгард"
"herocard.family.title.mighty_pet","Семья ""Могучие питомцы"""
"herocard.family.title.mighty_pet.short","Могучий питомец"
"herocard.family.title.mimic","Семья имитаторов"
"herocard.family.title.mimic.short","Имитатор"
"herocard.family.title.moon","Семья Луны"
"herocard.family.title.moon.short","Луна"
"herocard.family.title.moths","Семья мотыльков"
"herocard.family.title.moths.short","Мотыльки"
"herocard.family.title.musketeer","Семья мушкетеров"
"herocard.family.title.musketeer.short","Мушкетер"
"herocard.family.title.muspelheim","Муспельхейм"
"herocard.family.title.muspelheim.short","Муспельхейм"
"herocard.family.title.myrkheim","Миркхейм"
"herocard.family.title.myrkheim.short","Миркхейм"
"herocard.family.title.mystery","Семья Тайны"
"herocard.family.title.mystery.short","Тайна"
"herocard.family.title.nidavellir","Нидавелир"
"herocard.family.title.nidavellir.short","Нидавеллир"
"herocard.family.title.niflheim","Нифльхейм"
"herocard.family.title.niflheim.short","Нифльхейм"
"herocard.family.title.ninja","Семья ниндзя"
"herocard.family.title.ninja.short","Ниндзя"
"herocard.family.title.ninja2","Семья ниндзя"
"herocard.family.title.ninja2.short","Ниндзя"
"herocard.family.title.opera","Семья оперы"
"herocard.family.title.opera.short","Опера"
"herocard.family.title.outlaw","Семья преступников Ляншаня"
"herocard.family.title.outlaw.short","Преступники Ляншаня"
"herocard.family.title.owl","Семья сов"
"herocard.family.title.owl.short","Совы"
"herocard.family.title.pirate","Семья пиратов"
"herocard.family.title.pirate.short","Пираты"
"herocard.family.title.plains_hunter","Семья степных охотников"
"herocard.family.title.plains_hunter.short","Степной охотник"
"herocard.family.title.raven","Семейство воронов"
"herocard.family.title.raven.short","Вороны"
"herocard.family.title.raven_pve.short","Ворон"
"herocard.family.title.sand","Семья Песочной империи"
"herocard.family.title.sand.short","Песочная империя"
"herocard.family.title.slayers","Семья убийц"
"herocard.family.title.slayers.short","Убийцы"
"herocard.family.title.slime","Склизкая семья"
"herocard.family.title.slime.short","Склизкая"
"herocard.family.title.stag","Семья оленей"
"herocard.family.title.stag.short","Олень"
"herocard.family.title.stag_pve.short","Олень"
"herocard.family.title.styx","Семья Стикса"
"herocard.family.title.styx.short","Стикс"
"herocard.family.title.sun","Семья Солнца"
"herocard.family.title.sun.short","Солнце"
"herocard.family.title.super_elemental","Суперстихийная семья"
"herocard.family.title.super_elemental.short","Суперстихии"
"herocard.family.title.svartalfheim","Свартальвхейм"
"herocard.family.title.svartalfheim.short","Свартальвхейм"
"herocard.family.title.tales1_baddies","Семья кошмаров Атлантиды"
"herocard.family.title.tales1_baddies.short","Кошмар Атлантиды"
"herocard.family.title.tales1_goodies","Семья защитников Атлантиды"
"herocard.family.title.tales1_goodies.short","Защитники Атлантиды"
"herocard.family.title.vanaheim","Ванахейм"
"herocard.family.title.vanaheim.short","Ванахейм"
"herocard.family.title.vegetable","Семья овощей"
"herocard.family.title.vegetable.short","Овощ"
"herocard.family.title.villains","Семья злодеев"
"herocard.family.title.villains.short","Злодеи"
"herocard.family.title.wild_cat","Семья диких кошек"
"herocard.family.title.wild_cat.short","Дикие кошки"
"herocard.family.title.winter","Зимняя семья"
"herocard.family.title.winter.short","Зима"
"herocard.family.title.wolf","Семейство волков"
"herocard.family.title.wolf.short","Волки"
"herocard.family.title.wolf_pve.short","Волк"
"herocard.family.title.wonderland","Семья Страны чудес"
"herocard.family.title.wonderland.short","Страна Чудес"
"herocard.family.title.zodiac","Семья Китайского Нового года"
"herocard.family.title.zodiac.short","Китайский Новый год"
