"heroes.name_fancy.astral_cosmicspeaker","星体精灵天文学家"
"heroes.name_fancy.astral_demilune","星体精灵神谕者"
"heroes.name_fancy.astral_dreadstar","星体精灵皇后"
"heroes.name_fancy.astral_dwarf_ceris","星体矮人占星师"
"heroes.name_fancy.astral_dwarf_chires","星体矮人甜食控"
"heroes.name_fancy.astral_dwarf_errin","星体矮人玩具匠"
"heroes.name_fancy.astral_dwarf_gongoth","星体矮人决斗者"
"heroes.name_fancy.astral_dwarf_haumri","星体矮人预言者"
"heroes.name_fancy.astral_dwarf_hygil","星体矮人制图师"
"heroes.name_fancy.astral_dwarf_ixinn","星体矮人破坏者"
"heroes.name_fancy.astral_dwarf_lemniss","星体矮人矿工"
"heroes.name_fancy.astral_dwarf_maegwyn","星体矮人调酒师"
"heroes.name_fancy.astral_dwarf_orcur","星体矮人园丁"
"heroes.name_fancy.astral_dwarf_pluth","星体矮人修补匠"
"heroes.name_fancy.astral_dwarf_quari","星体矮人朝圣者"
"heroes.name_fancy.astral_dwarf_salniss","星体矮人守卫"
"heroes.name_fancy.astral_dwarf_sedille","星体矮人持灯者"
"heroes.name_fancy.astral_dwarf_vard","星体矮人宗师"
"heroes.name_fancy.astral_hammerclang","星体精灵铁匠"
"heroes.name_fancy.astral_lemonwood","星体精灵神射手"
"heroes.name_fancy.astral_lionstring","星体精灵裁缝"
"heroes.name_fancy.astral_melodymuse","星体精灵诗人"
"heroes.name_fancy.astral_moonbell","星体精灵召唤师"
"heroes.name_fancy.astral_mooncure","星体精灵熏香大师"
"heroes.name_fancy.astral_moonflower","星体精灵植物学家"
"heroes.name_fancy.astral_sparklight","星体精灵战士"
"heroes.name_fancy.astral_starlass","星体精灵弩兵"
"heroes.name_fancy.astral_starswift","星体精灵青年"
"heroes.name_fancy.astral_starwalker","星体精灵之王"
"heroes.name_fancy.astral_voidstar","星体精灵重骑士"
"heroes.name_fancy.ballerina_armand","半信半疑的艺术赞助人"
"heroes.name_fancy.ballerina_benno","王座之友"
"heroes.name_fancy.ballerina_charlotta","首席女歌手"
"heroes.name_fancy.ballerina_christine_daae","歌剧院女歌手"
"heroes.name_fancy.ballerina_daroga","绿眼绅士"
"heroes.name_fancy.ballerina_firmin","新星赞助人"
"heroes.name_fancy.ballerina_madame_giry","女伴舞"
"heroes.name_fancy.ballerina_meg_giry","新生代芭蕾舞女演员"
"heroes.name_fancy.ballerina_odette","白天鹅"
"heroes.name_fancy.ballerina_odile","黑天鹅"
"heroes.name_fancy.ballerina_phantom_of_the_opera","神秘主谋"
"heroes.name_fancy.ballerina_prince_siegfried","未来之王"
"heroes.name_fancy.ballerina_raul","痴情贵族"
"heroes.name_fancy.ballerina_swan_maiden","小天鹅之一"
