"heroes.name_fancy.astral_cosmicspeaker","星界精靈天文學家"
"heroes.name_fancy.astral_demilune","星界精靈神諭者"
"heroes.name_fancy.astral_dreadstar","星界巫師之后"
"heroes.name_fancy.astral_dwarf_ceris","星界矮人古僧"
"heroes.name_fancy.astral_dwarf_chires","星界矮人甜食愛好者"
"heroes.name_fancy.astral_dwarf_errin","星界矮人玩具工匠"
"heroes.name_fancy.astral_dwarf_gongoth","星界矮人競爭者"
"heroes.name_fancy.astral_dwarf_haumri","星界矮人預知者"
"heroes.name_fancy.astral_dwarf_hygil","星界矮人製圖師"
"heroes.name_fancy.astral_dwarf_ixinn","星界矮人拆除者"
"heroes.name_fancy.astral_dwarf_lemniss","星界矮人礦工"
"heroes.name_fancy.astral_dwarf_maegwyn","星界矮人酒吧女侍"
"heroes.name_fancy.astral_dwarf_orcur","星界矮人園丁"
"heroes.name_fancy.astral_dwarf_pluth","星界矮人修補匠"
"heroes.name_fancy.astral_dwarf_quari","星界矮人朝聖者"
"heroes.name_fancy.astral_dwarf_salniss","星界矮人看守者"
"heroes.name_fancy.astral_dwarf_sedille","星界矮人光明使者"
"heroes.name_fancy.astral_dwarf_vard","星界矮人大師"
"heroes.name_fancy.astral_hammerclang","星界巫師鐵匠"
"heroes.name_fancy.astral_lemonwood","星界巫師射手"
"heroes.name_fancy.astral_lionstring","星界巫師裁縫師"
"heroes.name_fancy.astral_melodymuse","星界精靈詩人"
"heroes.name_fancy.astral_moonbell","星界精靈召喚師"
"heroes.name_fancy.astral_mooncure","星界精靈焚香大師"
"heroes.name_fancy.astral_moonflower","星界巫師植物學家"
"heroes.name_fancy.astral_sparklight","星界巫師勇士"
"heroes.name_fancy.astral_starlass","星界精靈弩手"
"heroes.name_fancy.astral_starswift","星界巫師青年"
"heroes.name_fancy.astral_starwalker","星界巫師之王"
"heroes.name_fancy.astral_voidstar","星界精靈大騎士"
"heroes.name_fancy.ballerina_armand","多疑的藝術贊助人"
"heroes.name_fancy.ballerina_benno","王座之友"
"heroes.name_fancy.ballerina_charlotta","首席女歌手"
"heroes.name_fancy.ballerina_christine_daae","歌劇歌鳥"
"heroes.name_fancy.ballerina_daroga","翠眼紳士"
"heroes.name_fancy.ballerina_firmin","暴發戶贊助人"
"heroes.name_fancy.ballerina_madame_giry","婦女舞者"
"heroes.name_fancy.ballerina_meg_giry","芭蕾舞伶之星"
"heroes.name_fancy.ballerina_odette","白天鵝"
"heroes.name_fancy.ballerina_odile","黑天鵝"
"heroes.name_fancy.ballerina_phantom_of_the_opera","神秘幕後首腦"
"heroes.name_fancy.ballerina_prince_siegfried","未來國王"
"heroes.name_fancy.ballerina_raul","患相思病的貴族"
"heroes.name_fancy.ballerina_swan_maiden","小天鵝之一"
"heroes.name_fancy.ballerina_uberta","寡婦皇后"
"heroes.name_fancy.ballerina_von_rothbart","畏懼的魔法師"
"heroes.name_fancy.bard_astrid","復活吟遊詩人"
"heroes.name_fancy.bard_balafon","靈魂節慶吟遊詩人"
"heroes.name_fancy.bard_belladonna","超自然之吟遊詩人"
"heroes.name_fancy.bard_bhaltair","矮人一人團隊"
"heroes.name_fancy.bard_bonzo","奇怪吟遊詩人"
"heroes.name_fancy.bard_celimene","幻影之吟遊詩人"
"heroes.name_fancy.bard_darkbeat","衝撞系演奏大師"
"heroes.name_fancy.bard_dunnar_hart","岩漿鼓手"
"heroes.name_fancy.bard_garyas","快樂之吟遊詩人"
"heroes.name_fancy.bard_lyria","異常熱情的樂器演奏家"
"heroes.name_fancy.bard_merith","蛇紋石小提琴家"
"heroes.name_fancy.bard_narcisa","魅力吟遊詩人"
"heroes.name_fancy.bard_ogima","靈魂之吟遊詩人"
"heroes.name_fancy.bard_phenexa","低語吟遊詩人"
"heroes.name_fancy.bard_rhys","英勇吟遊詩人"
"heroes.name_fancy.bard_winifred","創造吟遊詩人"
"heroes.name_fancy.bard_zarel","傳說之吟遊詩人"
"heroes.name_fancy.bard_zhabog","雄辯吟遊詩人"
"heroes.name_fancy.beachparty_andy_jay","陽光海岸狂歡者"
"heroes.name_fancy.beachparty_brebarg","沙堡專家"
"heroes.name_fancy.beachparty_davey_wavey","受訓鯊魚"
"heroes.name_fancy.beachparty_dillo","濕透的犰狳"
"heroes.name_fancy.beachparty_dolrak","黝黑的矮人"
"heroes.name_fancy.beachparty_flip","海豹救生員"
"heroes.name_fancy.beachparty_flip_costume_donut","海豹甜甜圈小販"
