"heroes.name.astral_cosmicspeaker","Космикспикер"
"heroes.name.astral_demilune","Демилуна"
"heroes.name.astral_dreadstar","Дредстар"
"heroes.name.astral_dwarf_ceris","Церис"
"heroes.name.astral_dwarf_chires","Чайрз"
"heroes.name.astral_dwarf_errin","Эррин"
"heroes.name.astral_dwarf_gongoth","Гонгот"
"heroes.name.astral_dwarf_haumri","Хаумри"
"heroes.name.astral_dwarf_hygil","Хайджил"
"heroes.name.astral_dwarf_ixinn","Иксинн"
"heroes.name.astral_dwarf_lemniss","Лемнисс"
"heroes.name.astral_dwarf_maegwyn","Мэгвин"
"heroes.name.astral_dwarf_orcur","Оркур"
"heroes.name.astral_dwarf_pluth","Плат"
"heroes.name.astral_dwarf_quari","Квари"
"heroes.name.astral_dwarf_salniss","Сальнисса"
"heroes.name.astral_dwarf_sedille","Седилль"
"heroes.name.astral_dwarf_vard","Вэрд"
"heroes.name.astral_hammerclang","Хаммеркланг"
"heroes.name.astral_lemonwood","Лемонвуд"
"heroes.name.astral_lionstring","Лайонстринг"
"heroes.name.astral_melodymuse","Мелодимьюз"
"heroes.name.astral_moonbell","Мунбел"
"heroes.name.astral_mooncure","Мункьюр"
"heroes.name.astral_moonflower","Мунфлауэр"
"heroes.name.astral_sparklight","Спарклайт"
"heroes.name.astral_starlass","Старласс"
"heroes.name.astral_starswift","Старсвифт"
"heroes.name.astral_starwalker","Старуокер"
"heroes.name.astral_voidstar","Войдстар"
"heroes.name.ballerina_armand","Арман Мончармин"
"heroes.name.ballerina_benno","Бенно"
"heroes.name.ballerina_charlotta","Шарлотта"
"heroes.name.ballerina_christine_daae","Кристина Даэ"
"heroes.name.ballerina_daroga","Дарога"
"heroes.name.ballerina_firmin","Ришар Фирмен"
"heroes.name.ballerina_madame_giry","Мадам Жири"
"heroes.name.ballerina_meg_giry","Мег Жири"
"heroes.name.ballerina_odette","Одетта"
"heroes.name.ballerina_odile","Одиллия"
"heroes.name.ballerina_phantom_of_the_opera","Призрак оперы"
"heroes.name.ballerina_prince_siegfried","Принц Зигфрид"
"heroes.name.ballerina_raul","Рауль"
"heroes.name.ballerina_swan_maiden","Дева-лебедь"
"heroes.name.ballerina_uberta","Юберта"
"heroes.name.ballerina_von_rothbart","Фон Ротбарт"
"heroes.name.bard_astrid","Астрид"
"heroes.name.bard_balafon","Салимата"
"heroes.name.bard_belladonna","Белладонна"
"heroes.name.bard_bhaltair","Бальтаир"
"heroes.name.bard_bonzo","Бонзо"
"heroes.name.bard_celimene","Селимена"
"heroes.name.bard_darkbeat","Даркбит"
"heroes.name.bard_dunnar_hart","Дуннар Харт"
"heroes.name.bard_garyas","Гарьяс"
"heroes.name.bard_lyria","Лирия"
"heroes.name.bard_merith","Мирис"
"heroes.name.bard_narcisa","Нарцисса"
"heroes.name.bard_ogima","Огима"
"heroes.name.bard_phenexa","Фенекса"
"heroes.name.bard_rhys","Рис"
"heroes.name.bard_winifred","Уинифред"
"heroes.name.bard_zarel","Зарел"
"heroes.name.bard_zhabog","Жабог"
"heroes.name.beachparty_andy_jay","Энди Джей"
"heroes.name.beachparty_brebarg","Бребарг"
"heroes.name.beachparty_davey_wavey","Дейви Вейви"
"heroes.name.beachparty_dillo","Дилло"
"heroes.name.beachparty_dolrak","Долрак"
"heroes.name.beachparty_flip","Флип"
"heroes.name.beachparty_itham","Итам"
"heroes.name.beachparty_mazoga","Мазога"
"heroes.name.beachparty_misty","Мисти"
"heroes.name.beachparty_mortimer","Мортимер"
"heroes.name.beachparty_serena","Серена"
"heroes.name.beachparty_zenukwa","Зенук'ва"
"heroes.name.beowulf_aeschere","Эскхер"
"heroes.name.beowulf_beowulf","Беовульф"
"heroes.name.beowulf_breca","Брека"
"heroes.name.beowulf_ecgtheow","Эггтеов"
"heroes.name.beowulf_freawaru","Фреавару"
"heroes.name.beowulf_grendel","Грендель"
"heroes.name.beowulf_grendels_mother","Мать Гренделя"
"heroes.name.beowulf_hrothgar","Хротгар"
"heroes.name.beowulf_hygd","Хюгд"
"heroes.name.beowulf_modthryth","Модтрит"
"heroes.name.beowulf_nithgaest","Нитгэст"
"heroes.name.beowulf_unferth","Анферт"
"heroes.name.beowulf_wealhtheow","Вальхтеов"
"heroes.name.beowulf_weland","Велунд"
"heroes.name.beowulf_wiglaf","Виглаф"
"heroes.name.blackguard_commander","Тибуртус"
"heroes.name.blackguard_female_archer","Белена"
"heroes.name.blackguard_female_captain","Приска"
"heroes.name.blackguard_knight","Ригард"
"heroes.name.blackguard_scout","Юлий"
"heroes.name.blackguard_skulker","Ренфилд"
"heroes.name.castle_bear_armel","Армел"
"heroes.name.castle_bear_bearnadette","Бернадетта"
"heroes.name.castle_bear_humbert","Хамберт"
"heroes.name.castle_bear_koda","Кода"
"heroes.name.castle_bear_teddy","Тедди"
"heroes.name.castle_bear_torben","Торбен"
"heroes.name.castle_bear_winnie","Уинни"
"heroes.name.castle_bear_yona","Йона"
"heroes.name.castle_raven_aderyn","Адерин"
"heroes.name.castle_raven_eloise","Элоиза"
"heroes.name.castle_raven_franz","Франц"
"heroes.name.castle_raven_lewena","Льюина"
"heroes.name.castle_raven_quintin","Квинтин"
"heroes.name.castle_raven_rayne","Рейна"
"heroes.name.castle_raven_wren","Врен"
"heroes.name.castle_stag_alvar","Альвар"
"heroes.name.castle_stag_cecilia","Сесилия"
"heroes.name.castle_stag_daemon","Дэймон"
"heroes.name.castle_stag_fawn","Фоун"
"heroes.name.castle_stag_lysanor","Лисанор"
"heroes.name.castle_stag_raleigh","Роли"
"heroes.name.castle_stag_siofra","Сиофра"
"heroes.name.castle_stag_xiamara","Ксиамара"
"heroes.name.castle_wolf_bertulf","Бертульф"
"heroes.name.castle_wolf_esme","Эсме"
"heroes.name.castle_wolf_ferant","Ферант"
"heroes.name.castle_wolf_ludwig","Людвиг"
"heroes.name.castle_wolf_quenell","Квенель"
"heroes.name.castle_wolf_wolfgang","Вольфганг"
"heroes.name.champions_lazara","Лазара"
"heroes.name.champions_mistra","Мистра"
"heroes.name.champions_nogu","Ногу"
"heroes.name.champions_norman","Норман"
"heroes.name.champions_ramona","Рамона"
"heroes.name.champions_satori","Сатори"
"heroes.name.christmas_albin","Альбин"
"heroes.name.christmas_augustus","Августус"
"heroes.name.christmas_buster","Бастер"
"heroes.name.christmas_carol","Метель"
"heroes.name.christmas_cookie","Куки"
"heroes.name.christmas_dizzy","Диззи"
"heroes.name.christmas_elf","Дружок"
"heroes.name.christmas_frosty","Морозко"
"heroes.name.christmas_ginger","Джинджер"
"heroes.name.christmas_holly","Холли"
"heroes.name.christmas_jolly","Джолли"
"heroes.name.christmas_krampus","Крампус"
"heroes.name.christmas_mr_pengi","Мистер Пенги"
"heroes.name.christmas_mrs_claus","Мать Севера"
"heroes.name.christmas_ottilia","Оттилия"
"heroes.name.christmas_peppermint","Пепперминт"
"heroes.name.christmas_reindeer","Рудольф"
"heroes.name.christmas_santa","Санта Клаус"
"heroes.name.christmas_tinsel","Тинсел"
"heroes.name.christmas_zappa","Заппа"
"heroes.name.circus_bobo","Бобо"
"heroes.name.circus_candy","Кенди"
"heroes.name.circus_dandre","Д'Андре"
"heroes.name.circus_director_zuri","Директор Цури"
"heroes.name.circus_eichbelborg","Эйхбельборг"
"heroes.name.circus_eiora_and_fluffy","Эйора и Пушок"
"heroes.name.circus_emilio","Эмилио"
"heroes.name.circus_faline","Фалина"
"heroes.name.circus_marcel","Марсель"
"heroes.name.circus_theobald","Теобальд"
"heroes.name.circus_whacker","Громадина"
"heroes.name.construct_arzen","Арзен"
"heroes.name.construct_blue_mage","Джелах"
"heroes.name.construct_bonechill","Боунчилл"
"heroes.name.construct_brimstone","Бримстоун"
"heroes.name.construct_carta","Карта"
"heroes.name.construct_dancrag","Данкраг"
"heroes.name.construct_ferrus","Феррий"
"heroes.name.construct_frond","Фронд"
"heroes.name.construct_glacivolt","Гласивольт"
"heroes.name.construct_gwynn","Гвинн"
"heroes.name.construct_halwinter","Хальвинтер"
"heroes.name.construct_haulstone","Холстоун"
"heroes.name.construct_hornfel","Хорнфел"
"heroes.name.construct_hotspin","Хотспин"
"heroes.name.construct_ironheart","Айронхарт"
"heroes.name.construct_ironvein","Айронвейн"
"heroes.name.construct_japanese_doll","Блоссом"
"heroes.name.construct_nautica","Наутика"
"heroes.name.construct_nocturne","Скат"
"heroes.name.construct_rhineglow","Райнглоу"
"heroes.name.construct_rustbeak","Растбик"
"heroes.name.construct_scoria","Скориа"
