"heroes.name.astral_cosmicspeaker","宇宙音響"
"heroes.name.astral_demilune","戴米路恩"
"heroes.name.astral_dreadstar","恐懼之星"
"heroes.name.astral_dwarf_ceris","賽瑞絲"
"heroes.name.astral_dwarf_chires","柴爾斯"
"heroes.name.astral_dwarf_errin","艾琳"
"heroes.name.astral_dwarf_gongoth","剛格夫"
"heroes.name.astral_dwarf_haumri","哈姆里"
"heroes.name.astral_dwarf_hygil","海吉爾"
"heroes.name.astral_dwarf_ixinn","易辛"
"heroes.name.astral_dwarf_lemniss","萊姆尼斯"
"heroes.name.astral_dwarf_maegwyn","梅果玟"
"heroes.name.astral_dwarf_orcur","歐爾科"
"heroes.name.astral_dwarf_pluth","普勒斯"
"heroes.name.astral_dwarf_quari","奎瑞"
"heroes.name.astral_dwarf_salniss","賽妮絲"
"heroes.name.astral_dwarf_sedille","塞迪耶"
"heroes.name.astral_dwarf_vard","夫瓦德"
"heroes.name.astral_hammerclang","錘響"
"heroes.name.astral_lemonwood","檸檬木"
"heroes.name.astral_lionstring","獅弦"
"heroes.name.astral_melodymuse","樂音女神"
"heroes.name.astral_moonbell","月鈴"
"heroes.name.astral_mooncure","月療者"
"heroes.name.astral_moonflower","月花"
"heroes.name.astral_sparklight","火星光"
"heroes.name.astral_starlass","絲塔拉斯"
"heroes.name.astral_starswift","敏捷之星"
"heroes.name.astral_starwalker","星行者"
"heroes.name.astral_voidstar","虛無之星"
"heroes.name.ballerina_armand","亞曼德蒙加閔"
"heroes.name.ballerina_benno","班諾"
"heroes.name.ballerina_charlotta","夏洛塔"
"heroes.name.ballerina_christine_daae","克莉絲汀多兒"
"heroes.name.ballerina_daroga","達羅加"
"heroes.name.ballerina_firmin","費明理查德"
"heroes.name.ballerina_madame_giry","吉瑞夫人"
"heroes.name.ballerina_meg_giry","梅潔"
"heroes.name.ballerina_odette","奥黛特"
"heroes.name.ballerina_odile","歐蒂蔻"
"heroes.name.ballerina_phantom_of_the_opera","歌劇魅影"
"heroes.name.ballerina_prince_siegfried","齊格弗里德王子"
"heroes.name.ballerina_raul","勞爾"
"heroes.name.ballerina_swan_maiden","天鵝少女"
"heroes.name.ballerina_uberta","烏伯塔"
"heroes.name.ballerina_von_rothbart","羅夫巴特"
"heroes.name.bard_astrid","阿斯特麗德"
"heroes.name.bard_balafon","薩利馬塔"
"heroes.name.bard_belladonna","貝拉多娜"
"heroes.name.bard_bhaltair","巴爾泰爾"
"heroes.name.bard_bonzo","邦佐"
"heroes.name.bard_celimene","賽理梅"
"heroes.name.bard_darkbeat","黑暗節奏"
"heroes.name.bard_dunnar_hart","鄧納爾哈特"
"heroes.name.bard_garyas","加萊雅斯"
"heroes.name.bard_lyria","萊利亞"
"heroes.name.bard_merith","梅麗絲"
"heroes.name.bard_narcisa","納西莎"
"heroes.name.bard_ogima","奧基瑪"
"heroes.name.bard_phenexa","菲妮克莎"
"heroes.name.bard_rhys","里斯"
"heroes.name.bard_winifred","溫妮弗雷德"
"heroes.name.bard_zarel","扎瑞爾"
"heroes.name.bard_zhabog","扎博格"
"heroes.name.beachparty_andy_jay","安迪杰"
"heroes.name.beachparty_brebarg","柏瑞巴格"
