"herocard.passive_skill.description.addmana.all.allies","全部盟友獲得少量法力。"
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.addmana","每當敵人受到流血傷害時，這名角色會獲得{POWER}%法力。"
"herocard.passive_skill.description.bleed.effectondamageovertime.activates_on_enemy_action.heal.fixedpower","每當敵人受到流血傷害時，這名角色恢復{POWER}生命。"
"herocard.passive_skill.description.burn.effectondamageovertime.activates_on_enemy_action.addmana","每當敵人受到燃燒傷害時，這名角色會獲得{POWER}%法力。"
"herocard.passive_skill.description.bypassfamiliars.minion","該角色造成的所有傷害皆無視小兵。"
"herocard.passive_skill.description.bypassfamiliars.minion.bigminion","該角色造成的所有傷害皆無視小兵和超級小兵。"
"herocard.passive_skill.description.caststatuseffectdurationmodifier","有機率提升施放狀態效果的持續時間。"
"herocard.passive_skill.description.caststatuseffectdurationmodifier.turns_with_chance","{0}個回合：{1}%"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier","若此角色擁有任何飛行動量，則獲得：
最多{MAXMANAGENERATIONMODIFIER}%法力產出。
最多額外{MAXDODGEMODIFIER}%閃避機率。
角色擁有的飛行動量越少，效果越低。"
"herocard.passive_skill.description.chargebasedmodifier.managenerationmodifier.dodgemodifier.battle","飛行動量{CHARGE}%
此角色目前有：
{MANAGENERATIONMODIFIER}%法力產出。
額外{DODGEMODIFIER}%閃避機率。"
"herocard.passive_skill.description.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","每場戰鬥開始時，若戰場上任意盟友有啟用的枯萎效果，則獲得{POWER}%法力。"
"herocard.passive_skill.description.conditionaleffectovertime.revival.all.allies.while.single.allies.hasdeadallies","每{TURNS}回合，以{POWER}%生命值來復活所有落敗盟友。"
"herocard.passive_skill.description.conditionaleffectovertime.revival.neartotargetexceptcaster.allies.while.single.allies.hasdeadallies","每{TURNS}回合，以{POWER}%生命值來復活附近落敗盟友。"
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","當此角色第一次在戰鬥中以低生命值開始回合時，可恢復{HEALTH}%生命值，並獲得{MANA}%法力。"
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}%暴擊率。"
"herocard.passive_skill.description.damage.all.enemies","對所有敵人造成{DAMAGE}%傷害。"
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","每{TURNS}回合對所有敵方小兵和超級小兵造成{DAMAGEPERTURN}點傷害。"
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","每回合開始時，對所有敵方小兵和超級小兵造成{DAMAGEPERTURN}點傷害。"
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","此英雄的部隊可對更弱的元素造成額外元素傷害。

已造成額外元素傷害：+{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","狀態異常造成的傷害減少{DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","此角色因狀態異常所造成的傷害減少{DAMAGEREDUCTION}%。"
"herocard.passive_skill.description.destructivecorechargeeffectonspecial.damage.all.enemies.always","此角色的構造體核心為毀滅核心。

每次啟動毀滅核心時，會施放此角色的特殊技能：

毀滅核心暴增時，對所有敵人造成{CHARGEDPOWER1}%傷害。
 傷害依核心中的暴增量而定。核心啟動時會消耗所有暴增。"
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","這名角色擁有的小兵被擊殺時，會淨化其狀態異常。"
"herocard.passive_skill.description.dodgespecialdamage","此角色有{CHANCE}%的機率可躲避造成傷害的特殊技能。"
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","此角色施放其特殊技能時，摧毀自身所有惡魔。"
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","每{TURNS}回合，將會吞噬隨機敵人的所有小兵，每吞噬一個小兵都會獲得小額法力。"
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","此角色受到特殊技能的傷害時，可獲得{POWER}%法力。"
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","此角色受到特殊技能或普通攻擊的直接傷害時，可獲得少量法力，
每回合最多可獲得{MAXMANAGAINPERTURN}%法力。"
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","此角色受到特殊技能的傷害，或者代替受掩護角色承受傷害時，有{CHANCE}%機率對所有敵人造成所承受傷害的{POWER}%傷害。"
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","此角色受到特殊技能傷害時，獲得{STATUSEFFECT1ATTACK}%攻擊疊加 (最大值：{STATUSEFFECT1MAXSTACK})。每回合能獲得一層疊加。"
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","此角色受到特殊技能傷害時，獲得{STATUSEFFECT1ATTACK}%攻擊疊加 (最大值：{STATUSEFFECT1MAXSTACK})。每回合能獲得一層疊加。"
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","當盟友嘗試使用特殊技能進行淨化時，所有盟友都會獲得{POWER}點生命值加成。此效果每回合生效一次。"
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","當敵人嘗試使用特殊技能進行淨化時，所有敵人都會獲得{POWER}點傷害。此效果每回合生效一次。"
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","每次此角色身上的增益被驅散時，就會獲得{POWER}%法力。此效果每回合僅能啟動一次。"
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","每次此角色身上的狀態異常失效或被淨化、被移除或轉移時，獲得{POWER}%生命值。此效果每回合僅能啟動一次。"
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","每次此角色身上的狀態異常失效或被淨化、被移除或轉移時，有{CHANCE}%機率獲得{POWER}%生命值。此效果每回合僅能啟動一次。"
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","每次此角色身上的增益被驅散時，就會獲得{POWER}點生命值加成。此效果每回合僅能啟動一次。"
"herocard.passive_skill.description.effectonheal.addmana","此角色每次回復生命時也會獲得{POWER}%法力。"
"herocard.passive_skill.description.effectonheal.heal","此角色每次回復生命時，也會獲得{POWER}%生命值。"
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","此角色每次回復生命時，也會獲得{POWER}%生命值。"
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","成功抵抗後，此角色的生命值將提高{HEALTHBOOST}%，法力將提高{MANA}%。"
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","每當敵人施放可直接提升生命值的特殊技能時，此角色都會獲得{POWER}%法力。"
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","每當敵人施放可直接提升生命值的特殊技能時，此角色都會獲得{POWER}點生命值加成。"
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","此角色施放特殊技能時，有{CHANCE}%機率執行下列行動："
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","此角色使用特殊技能造成暴擊時，會安全淨化所有盟友身上最新的可淨化狀態異常。"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.only_criticals.once","此角色使用特殊技能造成暴擊時，會安全淨化所有盟友身上最新的可淨化狀態異常。此效果每回合可發動一次。"
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","此角色使用特殊技能造成暴擊時，會使所有盟友獲得{HEALTHBOOST}%生命值加成。"
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals.once","此角色使用特殊技能造成暴擊時，會使所有盟友獲得{HEALTHBOOST}%生命值加成。此效果每回合可啟用一次。"
