"specials.name.a_cozy_break","Уютный перерыв"
"specials.name.a_moment_of_joy","Мгновение радости"
"specials.name.a_rare_cultivar","Редкий сорт"
"specials.name.abiding_dogma","Подчинение догме"
"specials.name.absorbed_underlings","Поглощенные прислужники"
"specials.name.absordium_deflectors","Отражающее поглощение"
"specials.name.abyssal_incantation","Проклятие Бездны"
"specials.name.accelerated_growth","Ускоренный рост"
"specials.name.aces_high","Лучшая игра"
"specials.name.acid_bite","Разъедающий укус"
"specials.name.acoustic_surge","Звуковой удар"
"specials.name.acute_cut","Колкий удар"
"specials.name.adamantite_claw","Адамантитовый коготь"
"specials.name.adamantium_horn","Адамантиевый рог"
"specials.name.adorable_beam","Мультяшный луч"
"specials.name.adorable_bolt","Мультяшная стрела"
"specials.name.adorable_burning_strike","Удар мультяшным огнем"
"specials.name.adorable_cold_blast","Мультяшная метель"
"specials.name.adorable_entangling_shot","Чудесный мультяшный выстрел"
"specials.name.adorable_four_blades","Удар четырех мультяшек"
"specials.name.adorable_gamblers_stance","Мультяшная стойка"
"specials.name.adorable_hammer","Мультяшный молот"
"specials.name.adorable_have_faith","Мультяшная вера"
"specials.name.adorable_heal","Мультяшное исцеление"
"specials.name.adorable_massive_chop","Чудесный мультяшный хряп"
"specials.name.adorable_pest","Милый вредитель"
"specials.name.adorable_piercing_strike","Удар мультяшной силы"
"specials.name.adorable_pulverizer","Мультяшный распылитель"
"specials.name.adorable_purification","Мультяшкочищение"
"specials.name.adorable_ramming_rush","Мультастический рывок"
"specials.name.adorable_ramming_rush_isshtak","Мультяшная спешка"
"specials.name.adorable_shatter","Мультяшное сокрушение"
"specials.name.adorable_shield","Мультяшный щит"
"specials.name.adorable_skin","Мультяшкожа"
"specials.name.adorable_sonic_wall","Мультяшная стена"
"specials.name.adorable_spear","Мультяшное копье"
"specials.name.adorable_strike","Мультяшный удар"
"specials.name.adorable_swords","Стена мультяшных мечей"
"specials.name.adorable_tactical_cut","Чудесный мультяшный разрез"
"specials.name.adorable_wind_prayer","Мультяшная молитва"
"specials.name.adventure_awaits","Приключения ждут!"
"specials.name.advice_from_beyond","Потусторонний совет"
"specials.name.aerial_abduction","Воздушное похищение"
"specials.name.aerial_capture","Воздушный перехват"
"specials.name.age_old_antlers","Вековые рога"
"specials.name.aggravating_gaze","Раздражающий взгляд"
"specials.name.alchemy_experiment","Алхимический эксперимент"
"specials.name.alpha_roar","Рык альфы"
"specials.name.amazing_deals","Великолепные скидки"
"specials.name.amazing_deals_clearance_sale","Тотальная распродажа"
"specials.name.amazing_deals_dull_swords","Тупые мечи"
"specials.name.amazing_deals_questionable_snake_oil","Сомнительное плацебо"
"specials.name.amphibian_sword_sting","Укол клинком амфибии"
"specials.name.amphibious_assault","Атака амфибий"
"specials.name.ancient_enchantment","Древнее волшебство"
"specials.name.ancient_flames","Древнее пламя"
"specials.name.ancient_martial_arts","Древние боевые искусства"
"specials.name.ancient_mirror","Древнее зеркало"
"specials.name.ancient_ritual","Древний ритуал"
"specials.name.ancient_spell","Древнее заклинание"
"specials.name.ancient_technology","Древняя технология"
"specials.name.ancient_vengeance","Древняя месть"
"specials.name.anger_of_forest","Гнев лесов"
"specials.name.anger_of_the_jester","Гнев шута"
"specials.name.anger_of_the_woods","Гнев леса"
"specials.name.anger_of_the_woods_pve","Гнев леса"
"specials.name.angry_boar","Злой кабан"
"specials.name.angry_boar_pve","Злой кабан"
"specials.name.anthem_of_the_lake","Гимн озера"
"specials.name.aphotic_maw","Сумрачная пасть"
"specials.name.aphotic_whisper","Сумрачный шепот"
"specials.name.apothecary_kit","Аптечка"
"specials.name.aquatic_dance","Морской танец"
"specials.name.aquatic_outbreak","Водяная лихорадка"
"specials.name.arcane_blast","Чародейский взрыв"
"specials.name.arcane_shock","Волшебный шок"
"specials.name.archaic_dread","Древняя угроза"
